id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,fullParkedAmountUSD,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
294616,3232759,,,financial,2023-11-23T06:37:22.378Z,2023-11-23T00:00:00Z,,Asia IKRK Op. Appeals 2023,earmarked,0.928,2023-11-23T00:00:00Z,Standard,,TRUE,3000000,CHF,Traditional aid,,paid,2023-11-23T06:37:22.378Z,1,incoming,single,7F-11109.01,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,10,Protection,single,,,,1,Afghanistan,single,,,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2023-11-23T00:00:00.000Z
294662,2899189,2023,,financial,2023-11-23T09:48:22.354Z,2023-11-06T00:00:00Z,2023-11-06T00:00:00Z,"Protection - Gender-Based Violence	GAASHAN programme- Deliver protection services to address gender-based violence and child abuse, as well as sustainable approaches to preventative programming.",earmarked,0.824,2023-11-23T00:00:00Z,Parked,Multiyear,TRUE,2388932,GBP,Traditional aid,,commitment,2023-11-23T09:48:22.354Z,1,incoming,shared,300978-407,2899189,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,13,Protection - Gender-Based Violence,single,,,,206,Somalia,single,,,,2849,Save the Children,single,NGOs,International NGOs,International Actors,48; 49,2027; 2028,shared; shared,NULL; NULL,NULL; NULL,NULL; NULL,,,,,,,Primary,"United Kingdom, Government of",Email,2023-11-23T00:00:00.000Z
294667,6628220,2023,,financial,2023-11-23T10:11:18.452Z,2023-09-05T00:00:00Z,2023-09-05T00:00:00Z,Multi-Sector	Danwadaag- Reducing Vulnerabilities of Displaced Communities through Durable Solutions Programming in Somalia,earmarked,0.824,2023-11-23T00:00:00Z,Parked,Multiyear,TRUE,5461653,GBP,Traditional aid,,commitment,2023-11-23T10:11:18.452Z,1,incoming,shared,300978-406,6628220,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,26479,Multi-sector,single,,,,206,Somalia,single,,,,2986,International Organization for Migration,single,Multilateral Organizations,UN Agencies,International Actors,49; 48,2028; 2027,shared; shared,NULL; NULL,NULL; NULL,NULL; NULL,,,,,,,Primary,"United Kingdom, Government of",Email,2023-11-23T00:00:00.000Z
294674,15286624,2023,,financial,2023-11-23T10:18:56.310Z,2023-07-05T00:00:00Z,2023-07-05T00:00:00Z,Multi-Sector	BRCiS III- The project aims to enhance the resilience of targeted communities by supporting vulnerable rural communities to cope with shocks and stresses.,earmarked,0.785,2023-11-23T00:00:00Z,Parked,Multiyear,TRUE,12000000,GBP,Traditional aid,,commitment,2023-11-23T10:18:56.310Z,1,incoming,shared,300978-405,15286624,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,26479,Multi-sector,single,,,,206,Somalia,single,,,,2178,Norwegian Refugee Council,single,NGOs,International NGOs,International Actors,48; 49,2027; 2028,shared; shared,NULL; NULL,NULL; NULL,NULL; NULL,,,,,,,Primary,"United Kingdom, Government of",Email,2023-11-23T00:00:00.000Z
294680,310559,2023,,financial,2023-11-23T10:30:39.341Z,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Coordination and Support Services	To assist humanitarian and non-profit organizations in fulfilling their mandates though the provision of essential security coordination and information services that help to understand the operating environment and reduce the risks confronting their staff and operations.,earmarked,0.805,2023-11-23T00:00:00Z,Parked,Multiyear,TRUE,250000,GBP,Traditional aid,,commitment,2023-11-23T10:30:39.341Z,1,incoming,shared,300978-403,310559,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,26480,Coordination and support services,single,,,,206,Somalia,single,,,,6865,International NGO Safety Organisation,single,NGOs,International NGOs,International Actors,48; 49,2027; 2028,shared; shared,NULL; NULL,NULL; NULL,NULL; NULL,,,,,,,Primary,"United Kingdom, Government of",Email,2023-11-23T00:00:00.000Z
294681,77640,2023,,financial,2023-11-23T10:31:13.634Z,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Coordination and Support Services	To assist humanitarian and non-profit organizations in fulfilling their mandates though the provision of essential security coordination and information services that help to understand the operating environment and reduce the risks confronting their staff and operations.,earmarked,0.805,2023-11-23T00:00:00Z,Parked,Multiyear,TRUE,62500,GBP,Traditional aid,,commitment,2023-11-23T10:31:13.634Z,1,incoming,shared,300978-403,77640,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,26480,Coordination and support services,single,,,,206,Somalia,single,,,,6865,International NGO Safety Organisation,single,NGOs,International NGOs,International Actors,49; 50,2028; 2029,shared; shared,NULL; NULL,NULL; NULL,NULL; NULL,,,,,,,Primary,"United Kingdom, Government of",Email,2023-11-23T00:00:00.000Z
296590,0,,296594|296595|296591|296593|296592,financial,2023-12-13T12:58:36.345Z,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,RESTORE: restoring the riverine eco-systems for climate adaptation,earmarked,0.824,2023-12-04T00:00:00Z,Parked,Multiyear,TRUE,0,GBP,Traditional aid,,commitment,2025-01-23T21:30:59.960Z,1,incoming,shared,OSRO/SOM/078/UK,42475728,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,6,Food Security,single,,,,206,Somalia,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,44; 45; 46; 47; 48; 49,2023; 2024; 2025; 2026; 2027; 2028,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,Primary,Food and Agriculture Organization of the United Nations,Email,2023-12-04T00:00:00.000Z
299250,2395210,2028,,financial,2024-01-15T08:39:07.641Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,North	Gaza Cash-Plus Programme  Protection,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,2000000,CHF,Cash transfer programming (CTP),,commitment,2024-01-15T08:39:07.641Z,1,incoming,single,7F-11900.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,171,Occupied Palestinian Territory,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,962,oPt Complex Emergency 2023-24,single,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
299254,449102,2028,,financial,2024-01-15T08:49:41.319Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Support for Community Mental health in,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,375000,CHF,Traditional aid,,commitment,2024-01-15T08:49:41.319Z,1,incoming,single,7F-11700.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,7,Health,single,,,,171,Occupied Palestinian Territory,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,962,oPt Complex Emergency 2023-24,single,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
299434,215569,2028,,financial,2024-01-16T15:02:29.621Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Sexual & Gender-based violence,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,180000,CHF,Traditional aid,,commitment,2024-01-16T15:02:29.621Z,1,incoming,single,7F-11306.01,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,13,Protection - Gender-Based Violence,single,,,,,,,,,,4293,United Nations Population Fund,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
299436,131737,2028,,financial,2024-01-16T15:03:26.873Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Sexual & Gender-based violence,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,110000,CHF,Traditional aid,,commitment,2024-01-16T15:03:26.873Z,1,incoming,single,7F-11306.01,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,13,Protection - Gender-Based Violence,single,,,,,,,,,,2178,Norwegian Refugee Council,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
299948,877385,2023,,financial,2024-02-16T14:15:15.380Z,2024-01-18T00:00:00Z,2023-11-20T00:00:00Z,Iceland Contribution to OCHA 2028,unearmarked,143.38,2024-01-19T00:00:00Z,Standard,,TRUE,120000000,ISK,Traditional aid,,commitment,2024-02-26T07:23:23.934Z,3,incoming,single,OCT/ISL/2028/75894/OCHA(OCHA)/Unallocated/82266 N/A,,102,Iceland,single,,,,4845,"Iceland, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,251,Global,single,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,Office for the Coordination of Humanitarian Affairs,From OCT-OCHA,2024-02-22T00:00:00.000Z
299982,26123,2028,,financial,2024-01-19T12:07:54.436Z,2020-04-30T00:00:00Z,,"Protection, access & security",unearmarked,0.957,2024-01-12T00:00:00Z,Standard,,TRUE,25000,CHF,Traditional aid,,commitment,2024-01-19T12:07:54.436Z,1,incoming,single,7F-01035.11,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26480,Coordination and support services,single,,,,237,United States,single,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300050,102881,2028,,financial,2024-01-22T10:54:50Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Humanitarian efficiency,earmarked,0.972,2024-01-12T00:00:00Z,Standard,,TRUE,100000,CHF,Traditional aid,,commitment,2024-01-22T10:54:50Z,1,incoming,single,7F-04334.08,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26480,Coordination and support services,single,,,,156,Nepal,single,,,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Governments,International Government Entities,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300088,3086420,2027,,financial,2024-01-22T14:01:30.308Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Disaster Risk Reduction (DRR) - GFDRR,unearmarked,0.972,2024-01-12T00:00:00Z,Standard,,TRUE,3000000,CHF,Traditional aid,,paid,2024-01-22T14:01:30.308Z,1,incoming,single,7F-06009.14,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26481,Other,single,,,,251,Global,single,,,,4820,World Bank,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300143,2212389,2028,,financial,2024-01-23T11:10:41.183Z,2024-01-12T00:00:00Z,2023-06-14T00:00:00Z,Disaster Risk Reduction (DRR),earmarked,0.904,2024-01-12T00:00:00Z,Standard,,TRUE,2000000,CHF,Traditional aid,,commitment,2024-01-23T11:10:41.183Z,1,incoming,single,7F-07493.20,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26481,Other,single,,,,251,Global,single,,,,3582,UN Office for Disaster Risk Reduction,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300478,95808,2028,,financial,2024-01-29T14:10:50.015Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Disaster Risk Reduction (DRR),softly earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,80000,CHF,Traditional aid,,commitment,2024-01-29T14:10:50.015Z,1,incoming,single,7F-06053.07,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26481,Other,single,,,,251,Global,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300585,1796407,2027,,financial,2024-02-01T13:13:20.069Z,2024-01-12T00:00:00Z,,Basic nutrition,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,1500000,CHF,Traditional aid,,commitment,2024-02-01T13:13:20.069Z,1,incoming,single,7F-08503.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,9,Nutrition,single,,,,52,Democratic Republic of the Congo,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300593,359281,2028,,financial,2024-02-01T13:33:56.973Z,2024-01-12T00:00:00Z,,Disaster Risk Reduction (DRR),earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,300000,CHF,Traditional aid,,commitment,2024-02-01T13:33:56.973Z,1,incoming,single,7F-08390.05,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26481,Other,single,,,,251,Global,single,,,,4951,Global Network of Civil Society Organizations for Disaster Reduction,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300645,59880,2028,,financial,2024-02-02T11:51:19.105Z,2024-01-12T00:00:00Z,,Humanitarian efficiency,softly earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,50000,CHF,Traditional aid,,commitment,2024-02-02T11:51:19.105Z,1,incoming,single,7F-08002.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26480,Coordination and support services,single,,,,242; 49; 65; 175; 27; 45; 11,"Venezuela, Bolivarian Republic of; Colombia; Ecuador; Peru; Bolivia, Plurinational State of; Chile; Argentina",shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,13811,European Environment Agency,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300768,360082,2028,,financial,2024-02-05T15:04:55.854Z,2022-12-28T00:00:00Z,2022-12-28T00:00:00Z,Disaster Risk Reduction (DRR),earmarked,0.972,2024-01-12T00:00:00Z,Standard,,TRUE,350000,CHF,Traditional aid,,commitment,2024-02-05T15:04:55.854Z,1,incoming,single,7F-07707.05,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26481,Other,single,,,,251,Global,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
300912,1028807,2028,,financial,2024-02-06T14:51:12.745Z,2022-12-28T00:00:00Z,2022-12-28T00:00:00Z,Primary health care,earmarked,0.972,2024-01-12T00:00:00Z,Standard,,TRUE,1000000,CHF,Traditional aid,,commitment,2024-02-06T14:51:12.745Z,1,incoming,single,7F-10571.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,7,Health,single,,,,52,Democratic Republic of the Congo,single,,,,4528,MEDAIR,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
301561,359281,2028,,financial,2024-02-14T13:01:51.218Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Disaster Risk Reduction (DRR) - Livelihood for Rohingya Response,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,300000,CHF,Traditional aid,,commitment,2024-02-14T13:01:51.218Z,1,incoming,single,7F-11246.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,2,Early Recovery,single,,,,19,Bangladesh,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
