id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,fullParkedAmountUSD,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
304949,338279,,,financial,2024-03-31T18:03:58.235Z,2024-03-26T00:00:00Z,2024-03-26T00:00:00Z,Restoring Livelihoods and Revitalizing Rural Communities Affected by Mines and Explosive Remnants of War,earmarked,1.348,2024-03-27T00:00:00Z,Parked,Multiyear,TRUE,456000,CAD,Cash transfer programming (CTP),304943,pledge,2024-03-31T18:04:53.537Z,1,incoming,single,OSRO/UKR/031/CAN  Project no.: P012671 PO No: 7457656,338279,40,Canada,single,,,,2928,"Canada, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,6,Food Security,single,,,,234,Ukraine,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,Food and Agriculture Organization of the United Nations,Email,2024-03-28T00:00:00.000Z
304954,1145400,,,financial,2024-03-31T18:21:51.188Z,2024-03-26T00:00:00Z,2024-03-26T00:00:00Z,Restoring Livelihoods and Revitalizing Rural Communities Affected by Mines and Explosive Remnants of War,earmarked,1.348,2024-03-27T00:00:00Z,Parked,Multiyear,TRUE,1543999,CAD,Traditional aid,304944,pledge,2024-03-31T18:28:23.662Z,1,incoming,single,OSRO/UKR/031/CAN  Project no.: P012671 PO No: 7457656,1145400,40,Canada,single,,,,2928,"Canada, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,6,Food Security,single,,,,234,Ukraine,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,Food and Agriculture Organization of the United Nations,Email,2024-03-28T00:00:00.000Z
307395,257405,2023,,financial,2024-05-06T15:12:01.025Z,2023-07-26T00:00:00Z,2023-07-26T00:00:00Z,Minimum Services Package MHPSS II,earmarked,0.95,2024-01-04T00:00:00Z,Standard,,TRUE,244535,EUR,Traditional aid,,paid,2024-05-06T15:12:01.025Z,1,incoming,single,4000006562,,157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,7,Health,single,,,,251,Global,single,,,,4398,World Health Organization,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Netherlands, Government of",Email,2024-01-04T00:00:00.000Z
308325,1197605,2028,,financial,2024-05-13T15:10:50.837Z,2024-01-12T00:00:00Z,,Education facilities&material,softly earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,1000000,CHF,Traditional aid,,commitment,2024-05-13T15:10:50.837Z,1,incoming,single,7F-08002.07,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,3,Education,single,,,,96,Haiti,single,,,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Governments,International Government Entities,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
310126,0,2024,310127,financial,2024-05-22T10:20:15.376Z,2024-02-06T00:00:00Z,2024-02-06T00:00:00Z,Out of plan	HDP (development)	Project to Strengthen Agricultural Opportunities Through Training and Technological Investment (PROFIT) – Phase II,softly earmarked,41.7533,2024-05-22T00:00:00Z,Parked,Multiyear,TRUE,0,NOK,Traditional aid,,commitment,2024-05-22T10:21:00.933Z,1,incoming,shared,HTI/24/02/NOR,948524,167,Norway,single,,,,2930,"Norway, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,,,,,,,96,Haiti,single,,,,2994,International Labour Organization,single,Multilateral Organizations,UN Agencies,International Actors,45; 46; 47; 48; 49,2024; 2025; 2026; 2027; 2028,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,Primary,International Labour Organization,Email,2024-05-22T00:00:00.000Z
310771,2,2024,310776|310774|310773|310772|310775,financial,2024-05-25T10:13:50.649Z,2024-05-25T00:00:00Z,2024-03-18T00:00:00Z,"Integrated, protective education and realization of human rights for crisis affected girls and boys in South Sudan",unearmarked,,2024-05-08T00:00:00Z,Parked,Multiyear,FALSE,,,Traditional aid,,paid,2025-02-28T12:41:48.181Z,1,incoming,shared,SCI-SOF:57801767,1633660,,,,,,,2849,Save the Children,single,NGOs,International NGOs,International Actors,45,2024,single,,,,26479,Multi-sector,single,,,,211,South Sudan,single,,,,8158,Africa Development Aid,single,NGOs,National NGOs/CSOs,Local and National Non-State Actors,45; 46; 47; 48; 49,2024; 2025; 2026; 2027; 2028,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,Primary,Africa Development Aid,Email,2024-05-08T00:00:00.000Z
310775,339534,2024,,financial,2024-05-25T10:17:27.529Z,2024-05-25T00:00:00Z,2024-03-18T00:00:00Z,"Integrated, protective education and realization of human rights for crisis affected girls and boys in South Sudan",unearmarked,,2024-05-08T00:00:00Z,Pass through,,FALSE,,,Traditional aid,310771,paid,2024-05-25T10:19:25.677Z,1,incoming,single,SCI-SOF:57801767,,,,,,,,2849,Save the Children,single,NGOs,International NGOs,International Actors,45,2024,single,,,,26479,Multi-sector,single,,,,211,South Sudan,single,,,,8158,Africa Development Aid,single,NGOs,National NGOs/CSOs,Local and National Non-State Actors,49,2028,single,,,,,,,,,,Primary,Africa Development Aid,Email,2024-05-08T00:00:00.000Z
311371,179641,2028,,financial,2024-05-29T13:07:23.381Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Children's Rights,softly earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,150000,CHF,Traditional aid,,commitment,2024-05-29T13:07:23.381Z,1,incoming,single,7F-09537.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,12,Protection - Child Protection,single,,,,171,Occupied Palestinian Territory,single,,,,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,962,oPt Complex Emergency 2023-24,single,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
311385,973054,2028,,financial,2024-05-29T14:02:51.226Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Disaster Risk Reduction (DRR),softly earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,812500,CHF,Traditional aid,,commitment,2024-05-29T14:02:51.226Z,1,incoming,single,7F-09710.01,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26481,Other,single,,,,220,Tajikistan,single,,,,4761,Aga Khan Foundation,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
311389,1197605,2028,,financial,2024-05-29T14:16:55.105Z,2024-01-16T00:00:00Z,2024-01-16T00:00:00Z,Resilience & early recovery,earmarked,0.835,2024-01-16T00:00:00Z,Standard,,TRUE,1000000,CHF,Traditional aid,,commitment,2024-05-29T14:16:55.105Z,1,incoming,single,7F-09750.01,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,2,Early Recovery,single,,,,218,Syrian Arab Republic,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,600,Syrian Arab Republic - Civil Unrest (from 2012),single,,,,Primary,"Switzerland, Government of",Email,2024-01-16T00:00:00.000Z
311398,1659292,2027,,financial,2024-05-29T17:14:21.229Z,2024-01-12T00:00:00Z,2023-06-14T00:00:00Z,"Protection,",earmarked,0.904,2024-04-10T00:00:00Z,Standard,,TRUE,1500000,CHF,Traditional aid,,paid,2024-05-29T17:14:21.229Z,1,incoming,single,7F-10007,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,1,Afghanistan,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311399,368731,2028,,financial,2024-05-29T17:16:36.707Z,2024-01-12T00:00:00Z,2023-06-14T00:00:00Z,Soutien aux activités d'INSO au Sahel,earmarked,0.904,2024-04-10T00:00:00Z,Standard,,TRUE,333333,CHF,Traditional aid,,commitment,2024-05-29T17:16:36.707Z,1,incoming,single,7F-10009,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,36,Burkina Faso,single,,,,6865,International NGO Safety Organisation,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311489,3311258,2028,,financial,2024-05-30T06:55:21.954Z,2024-04-10T00:00:00Z,2024-04-10T00:00:00Z,Protection,softly earmarked,0.906,2024-04-10T00:00:00Z,Standard,,TRUE,3000000,CHF,Traditional aid,,commitment,2024-05-30T06:55:21.954Z,1,incoming,single,7F-10146,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,1,Afghanistan,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311555,771605,2028,,financial,2024-05-30T10:45:57.346Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,UNHAS - Accès aux bénéficiaires,earmarked,0.972,2024-04-10T00:00:00Z,Standard,,TRUE,750000,CHF,Traditional aid,,commitment,2024-05-30T10:45:57.346Z,1,incoming,single,7F-10527,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,8,Logistics,single,,,,137,Mali,single,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311556,771605,2028,,financial,2024-05-30T10:47:11.422Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,UNHAS - Accès aux bénéficiaires,earmarked,0.972,2024-04-10T00:00:00Z,Standard,,TRUE,750000,CHF,Traditional aid,,commitment,2024-05-30T10:47:11.422Z,1,incoming,single,7F-10527,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,8,Logistics,single,,,,36,Burkina Faso,single,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311564,771605,2028,,financial,2024-05-30T10:51:04.380Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,UNHAS - Accès aux bénéficiaires,earmarked,0.972,2024-04-10T00:00:00Z,Standard,,TRUE,750000,CHF,Traditional aid,,commitment,2024-05-30T10:51:04.380Z,1,incoming,single,7F-10527,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,8,Logistics,single,,,,162,Niger,single,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311588,119760,2028,,financial,2024-05-30T11:31:58.736Z,2024-04-10T00:00:00Z,2024-04-10T00:00:00Z,Reintegration,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,100000,CHF,Traditional aid,,commitment,2024-05-30T11:31:58.736Z,1,incoming,single,7F-10623,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,12,Protection - Child Protection,single,,,,163,Nigeria,single,,,,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311599,3592814,2028,,financial,2024-05-30T11:45:13.674Z,2024-04-10T00:00:00Z,2024-04-10T00:00:00Z,Food and Agri. Sustainability for Liveli,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,3000000,CHF,Traditional aid,,commitment,2024-05-30T11:45:13.674Z,1,incoming,single,7F-10707,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,6,Food Security,single,,,,1,Afghanistan,single,,,,4761,Aga Khan Foundation,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311617,718563,2028,,financial,2024-05-30T12:29:47.888Z,2024-01-14T00:00:00Z,2022-01-14T00:00:00Z,Food security policy,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,600000,CHF,Traditional aid,,commitment,2024-05-30T12:29:47.888Z,1,incoming,single,7F-10827,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,6,Food Security,single,,,,163,Nigeria,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311644,4790419,2028,,financial,2024-05-30T13:16:43.293Z,2024-04-10T00:00:00Z,2024-04-10T00:00:00Z,Climate Resilience,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,4000000,CHF,Traditional aid,,commitment,2024-05-30T13:16:43.293Z,1,incoming,single,7F-10965,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,6,Food Security,single,,,,1,Afghanistan,single,,,,4761,Aga Khan Foundation,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311649,359281,2028,,financial,2024-05-30T13:31:03.826Z,2024-04-10T00:00:00Z,2024-04-10T00:00:00Z,Climate & Socially Resilient Livelihoods,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,300000,CHF,Traditional aid,,commitment,2024-05-30T13:31:03.826Z,1,incoming,single,7F-10974,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26512,Agriculture,single,,,,1,Afghanistan,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311660,658683,2028,,financial,2024-05-30T13:40:16.066Z,2024-04-10T00:00:00Z,2024-04-10T00:00:00Z,Integrated Protection,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,550000,CHF,Traditional aid,,commitment,2024-05-30T13:40:16.066Z,1,incoming,single,7F-10976,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,163,Nigeria,single,,,,3001,International Rescue Committee,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311682,3592814,2028,,financial,2024-05-30T15:45:08.272Z,2024-01-14T00:00:00Z,2024-04-10T00:00:00Z,Afghanistan,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,3000000,CHF,Traditional aid,,commitment,2024-05-30T15:45:08.272Z,1,incoming,single,7F-11109,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26479,Multi-sector,single,,,,1,Afghanistan,single,,,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311685,598802,2028,,financial,2024-05-30T15:47:53.984Z,2023-01-12T00:00:00Z,,Disaster Risk Reduction (DRR),earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,500000,CHF,Traditional aid,,commitment,2024-05-30T15:47:53.984Z,1,incoming,single,7F-11113.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,2,Early Recovery,single,,,,220,Tajikistan,single,,,,4761,Aga Khan Foundation,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
311722,2994012,2028,,financial,2024-05-30T16:56:07.374Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,AFG Resilience Trust Fund,unearmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,2500000,CHF,Traditional aid,,commitment,2024-05-30T16:56:07.374Z,1,incoming,single,7F-11249,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,,,,,,,1,Afghanistan,single,,,,1481,Afghan Reconstruction Trust Fund,single,Pooled Funds,Other Pooled Funds,Pooled Funds,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311723,1197605,2028,,financial,2024-05-30T16:58:30.584Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Amélioration protection popul. vulnerab - Human rights,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,1000000,CHF,Traditional aid,,commitment,2024-05-30T16:58:30.584Z,1,incoming,single,7F-11250.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,96,Haiti,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
311736,2395210,2028,,financial,2024-05-30T17:14:31.414Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,"Primary health care
--- Health",earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,2000000,CHF,Traditional aid,,commitment,2024-05-30T17:14:31.414Z,1,incoming,single,7F-11264,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,7,Health,single,,,,146,"Moldova, Republic of",single,,,,13812,Plan Bleu,single,NGOs,International NGOs,International Actors,49,2028,single,,,,951,Ukraine Crisis 2022,single,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
311737,2395210,2028,,financial,2024-05-30T17:16:08.388Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Social Cohesion and Peace,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,2000000,CHF,Traditional aid,,commitment,2024-05-30T17:16:08.388Z,1,incoming,single,7F-11265,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,2,Early Recovery,single,,,,146,"Moldova, Republic of",single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,951,Ukraine Crisis 2022,single,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
311746,2395210,2028,,financial,2024-05-30T17:30:57.062Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Women?s socio-econom. political equality,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,2000000,CHF,Traditional aid,,commitment,2024-05-30T17:30:57.062Z,1,incoming,single,7F-11266.01,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,2,Early Recovery,single,,,,146,"Moldova, Republic of",single,,,,5294,United Nations Development Programme,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,951,Ukraine Crisis 2022,single,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
311759,2994012,2028,,financial,2024-05-30T18:16:16.637Z,2024-04-10T00:00:00Z,2024-04-10T00:00:00Z,Women Society Organization,earmarked,0.835,2024-04-10T00:00:00Z,Standard,,TRUE,2500000,CHF,Traditional aid,,commitment,2024-05-30T18:16:16.637Z,1,incoming,single,7F-11333,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,,,,,,,1,Afghanistan,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-04-10T00:00:00.000Z
